Kategori,Nama Varietas,Nomor Seleksi,Asal Seleksi,Umur Tanaman,Bentuk Tanaman,Tinggi Tanaman,Daun Bendera,Bentuk Gabah,Warna Gabah,Kerontokan,Kerebahan,Tekstur Nasi,Kadar Amilosa,Berat 1000 Butir,Rata-rata Hasil,Potensi Hasil,Ketahanan Hama,Ketahanan Penyakit,Anjuran Tanam,Tahun Dilepas
Padi Sawah,CISAAT,B12743-MR-18-2-3-5-PN-5-2-2-4,Pepe/BP342B-1-3-KN-1-2-3-6-MR-3- BT-1,121 hari setelah semai,Tegak,116.71 cm,Tegak,Ramping,Kuning jerami,Sedang,Sedang,Pulen,15.73%,26.49 gram,6.38 t/ha GKG,9.33 t/ha GKG,Agak tahan terhadap wereng coklat biotipe 1 dan agak rentan terhadap biotipe 2 dan biotipe 3,"Agak tahan terhadap HDB patotipe III dan rentan terhadap patotipe IV dan VIII, Tahan terhadap penyakit blas ras 033, 133 dan 173 serta agak tahan terhadap ras 073, rentan terhadap tungro inokulum Garut dan Purwakarta",Baik ditanam untuk lahan sawah tadah hujan pada ketinggian 0 - 600 mdpl,2019
Padi Sawah,INPARI ARUMBA,BH39D-MR-11-1-1-6,Sintanur/Bahbutong,113 hari,Tegak,"119,2",Tegak,Medium,Kuning jerami,Sedang,Tahan,Pulen dan wangi,"16,15%","27,03 gram","6,12 ton/ha","10,67 ton/ha",Agak tahan terhadap wereng batang cokelat biotipe 1 dan agak rentan terhadap biotipe 2 dan biotipe 3,"Agak tahan terhadap HDB patotipe IV dan VIII dan tahan terhadap patotipe III. Agak tahan terhadap penyakit blas ras 033, 073, 133 dan 173 dan rentan terhadap tungro",Baik ditanam di lahan sawah irigasi pada ketinggian 0-600 mdpl,2020
Padi Sawah,INPARI 47 WBC,B13840E-MR-32-2-1-1-1-MR-4-KN-1,Pusa Basmati 4/PN III//Pusa Basmati 4/ Pandan Wangi Cianjur///Bahbutong,121 hari,Tegak,111 cm,Tegak,Ramping,Kuning jerami,Sedang,Sedang,Pulen,"20,99%","26,90 gram","7,71 ton/ha","9,52 ton/ha","Agak tahan terhadap hama wereng batang cokelat biotipe 1, 2, dan 3, serta populasi lapang Sukamandi","Rentan terhadap HDB patotipe III, agak tahan HDB patotipe IV dan VIII. Agak tahan terhadap blas ras 033, 133 dan rentan ras 073, 173. Rentan terhadap tungro inokulum Garut dan Purwakarta",Cocok ditanam pada lahan sawah pada ketinggian 0-600 mdpl,2020
Padi Sawah,INPARI 48 BLAS,BP29216E-SKI-30-4,Inpari 13/Omas,121 hari,Tegak,124 cm,Tegak,Ramping,Kuning jerami,Sedang,Sedang,Pulen,"23,58%","29,70 gram","7,64 ton/ha","9,13 ton/ha","Agak tahan terhadap WBC biotipe 1, 2, dan 3, serta agak rentan WBC populasi lapang Sukamandi","Agak tahan terhadap penyakit HDB patotipe III, IV, dan rentan terhadap patotipe VIII. Tahan terhadap blas ras 033, agak tahan ras 073, 133, dan 173. Rentan terhadap penyakit tungro inokulum Garut dan Purwakarta",Baik ditanam pada lahan sawah irigasi pada ketinggian 0-600 mdpl,2020
Padi Sawah,INPARI GEMAH,B13823E-MR-28,Memberamo/Inpari 9//Hare Kwa,118 hari,Tegak,120 cm,Tegak,Ramping,Kuning jerami,Sedang,Sedang,Pera,"26,97%","27,10 gram","7,75 ton/ha","10,46 ton/ha","Agak tahan terhadap wereng batang cokelat biotipe 1, 2, dan agak rentan terhadap biotipe 3 serta populasi lapang Sukamandi","Agak tahan terhadap penyakit HDB patotipe III, IV, dan VIII. Tahan terhadap blas ras 033, agak tahan ras 073, 133, dan rentan ras 173. Rentan terhadap penyakit tungro inokulum Garut dan Purwakarta",Baik ditanam pada lahan sawah irigasi pada ketinggian 0-600 mdpl,2020
Padi Sawah,INPARI 49 JEMBAR,BP17314B-SKI-1-1-1,Ciherang/IRBB50,112 hari setelah semai,Tegak,105 cm,Tegak,Medium,Kuning jerami,Sedang,-,Pulen,"20,68%","28,0 gram","7,45 ton/ha","9,57 ton/ha","Agak tahan terhadap wereng batang cokelat biotipe 1, 2, dan biotipe 3","Agak tahan terhadap hawar daun bakteri patotipe III, sangat rentan terhadap patotipe IV dan rentan terhadap patotipe VIII. Agak tahan terhadap penyakit blas ras 073, rentan terhadap blas ras 033, 133 dan 173. Rentan terhadap tungro inokulum Garut dan Purwakarta",Baik ditanam pada lahan sawah irigasi pada ketinggian 0-600 mdpl dan penanaman mengikuti kaidah budidaya padi lahan sawah irigasi melalui pengelolaan tanaman terpadu (PTT),2021
Padi Sawah,INPARI 50 MAREM,B11004E-MR-4-PN-3-2-3-MR-1,Cisantana/B10384-MR-1-8-3//IR66160-121-4-5-3/TB154E-TB-2,114 hari setelah semai,Tegak,106 cm,Agak Tegak,Medium,Kuning jerami,Sedang,-,Pera,"25,64%","26,9 gram","7,56 ton/ha","9,69 ton/ha","Agak tahan terhadap wereng batang cokelat biotipe 1, agak rentan terhadap biotipe 2 dan biotipe 3","Rentan terhadap hawar daun bakteri patotipe III dan IV, tahan terhadap patotipe VIII. Tahan tehadap penyakit blas ras 033, ras 073, ras 173 dan agak tahan ras 133. Rentan terhadap penyakit tungro inokulum Garut dan Purwakarta",Baik ditanam untuk lahan sawah irigasi pada ketinggian 0-600 mdpl,2021
Padi Sawah,RESPATI,CRS 874,Maros/F110//Bio-9,112 hari setelah semai,Tegak,109 cm,Agak Tegak,Ramping,Kuning jerami,Tahan,-,Pulen,"22,14%","26,4 gram","7,54 ton/ha","9,72 ton/ha","Agak tahan terhadap wereng batang cokelat biotipe 1 dan biotipe 2, agak rentan terhadap biotipe 3","Agak tahan terhadap penyakit hawar daun bakteri patotipe III dan VIII, sangat rentan terhadap patotipe IV. Agak tahan terhadap penyakit blas ras 033, 073 dan 133, rentan terhadap ras 173. Rentan terhadap tungro inokulum Garut dan Purwakarta",Baik ditanam untuk lahan sawah irigasi pada ketinggian 0-600 mdpl,2021
Padi Sawah,INPARI VTE 13,B14954-MR-5-1,Inpari 13*4/Conde,105 hari setelah semai,Tegak,102 cm,Tegak,Ramping,Kuning jerami,Sedang,-,Medium,"22,75%","25,2 gram","6,6 ton/ha",8 ton/ha,"Tahan terhadap wereng batang coklat biotipe 1, agak tahan terhadap biotipe 2 dan 3","Tahan terhadap hawar daun bakteri strain III, IV dan VIII, tahan terhadap blas 033, 133, 173, rentan terhadap ras 073, rentan terhadap virus tungro",Dianjurkan untuk ditanam mengikuti prinsip-prinsip Pengelolaan Tanaman Terpadu untuk sawah irigasi atau sawah tadah hujan,2022
Padi Sawah,BK SITUBONDO 01 AGRITAN,BP32274D-SKI-19-7-3-WBC-0,Maros/F110//Bio-9,100 hari setelah semai,Tegak,103 cm,Tegak,Ramping,Kuning jerami,Sedang,-,Pulen,"19,04%","29,32 gram","6,9 ton/ha","9,83 ton/ha","Agak tahan terhadap wereng batang cokelat biotipe 1, 2, dan agak rentan terhadap biotipe 3","Agak tahan terhadap penyakit hawar daun bakteri patotipe III dan VIII, rentan terhadap patotipe IV. Rentan terhadap penyakit blas ras 033, 073 dan 133, rentan terhadap ras 173. Rentan terhadap tungro inokulum Garut dan Purwakarta",Penanaman mengikuti kaidah budidaya padi lahan sawah irigasi melalui pengolaan tanaman terpandu (PTT).,2023
